
Profile Name 		MP-PJ-N-29-frag2
Scan No 	Precursor ion m/z 	Intensity 	Charge 	Deconvoluted Mass (Mass + Na) 	Glycan Rank 	Composition Score 	Branching Score 	Glycan ID 	Composition 	Sequence 	Glycan Mass 	Carbohydrate Mass 	Single Glycosidic % Match: 	Single CrossRing % Match: 	Glycosidic-Glycosidic % Match: 	Single CrossRing-Glycosidic % Match: 	
Scan2@946.137_3	946.137	266952.0	3	2792.432	1	1	1	G03802	(NeuAc)2 (Gal)2 (GlcNAc)4 (Man)3 (Asn)1	NeuAc(a2-)Gal(b1-4)GlcNAc(b1-4)Man(a1-3)[NeuAc(a2-)Gal(b1-4)GlcNAc(b1-4)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc	2222.79(Asn)	2222.79	22.5	6.48	18.33	6.65	
Scan2@946.137_3	946.137	266952.0	3	2792.432	2	1	2	G03948	(NeuAc)2 (Gal)2 (GlcNAc)4 (Man)3	NeuAc(a2-3)Gal(b1-4)GlcNAc(a1-2)Man(a1-3)[NeuAc(a2-3)Gal(b1-4)GlcNAc(a1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc	2222.79	2222.79	22.5	5.3	18.33	6.67	
Scan2@946.137_3	946.137	266952.0	3	2792.432	2	1	2	G00207	(NeuAc)2 (Gal)2 (GlcNAc)4 (Man)3	NeuAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[NeuAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc	2222.79	2222.79	22.5	5.3	18.33	6.67	
Scan2@946.137_3	946.137	266952.0	3	2792.432	2	1	2	G01143	(NeuAc)2 (Gal)2 (GlcNAc)4 (Man)3	NeuAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[NeuAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(1-4)GlcNAc	2222.79	2222.79	22.5	5.3	18.33	6.67	
Scan2@946.137_3	946.137	266952.0	3	2792.432	2	1	2	G10702	(NeuAc)2 (Gal)2 (GlcNAc)4 (Man)3 (Asn)1	NeuAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[NeuAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc	2222.79(Asn)	2222.79	22.5	5.3	18.33	6.67	
Scan2@946.137_3	946.137	266952.0	3	2792.432	3	1	3	G03905	(NeuAc)2 (Gal)2 (GlcNAc)4 (Man)3	NeuAc(a2-)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[NeuAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc	2222.79	2222.79	22.5	3.79	18.33	6.45	

Scan4@1407.71_2	1407.71	204050.0	2	2792.43	1	1	1	G03948	(NeuAc)2 (Gal)2 (GlcNAc)4 (Man)3	NeuAc(a2-3)Gal(b1-4)GlcNAc(a1-2)Man(a1-3)[NeuAc(a2-3)Gal(b1-4)GlcNAc(a1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc	2222.79	2222.79	17.5	5.3	10.56	3.42	
Scan4@1407.71_2	1407.71	204050.0	2	2792.43	1	1	1	G00207	(NeuAc)2 (Gal)2 (GlcNAc)4 (Man)3	NeuAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[NeuAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc	2222.79	2222.79	17.5	5.3	10.56	3.42	
Scan4@1407.71_2	1407.71	204050.0	2	2792.43	1	1	1	G01143	(NeuAc)2 (Gal)2 (GlcNAc)4 (Man)3	NeuAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[NeuAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(1-4)GlcNAc	2222.79	2222.79	17.5	5.3	10.56	3.42	
